id_BIBS,sample,date,plot,locality,type,sent_PCR,COI_results
BIBS_006,3536,08/07/2017,NH-51,Grunewald_1,Flies,Yes,Yes
BIBS_007,3537,8/23/2017,NH-51,Grunewald_1,Flies,Yes,Yes
BIBS_008,3538,8/23/2017,NH-51,Grunewald_1,Flies,Yes,Yes
BIBS_009,3539,8/23/2017,NH-51,Grunewald_1,Flies,Yes,Yes
BIBS_010,3540,08/07/2017,NM-50,Grunewald_2,Flies,Yes,Yes
BIBS_011,3541,08/07/2017,NM-50,Grunewald_2,Flies,Yes,Yes
BIBS_012,3542,09/04/2017,NM-50,Grunewald_2,Flies,Yes,Yes
BIBS_013,3543,09/04/2017,NM-50,Grunewald_2,Flies,Yes,Yes
BIBS_014,3544,09/04/2017,NM-50,Grunewald_2,Flies,Yes,Yes
BIBS_015,3545,9/18/2017,OH-07,Mueggelsee,Flies,Yes,No
BIBS_016,3546,9/18/2017,OH-07,Mueggelsee,Flies,Yes,Yes
BIBS_017,3547,9/18/2017,OH-07,Mueggelsee,Flies,Yes,Yes
BIBS_018,3548,8/26/2017,OH-07,Mueggelsee,Flies,Yes,Yes
BIBS_019,3549,8/26/2017,OH-07,Mueggelsee,Flies,Yes,Yes
BIBS_020,3550,8/26/2017,OH-07,Mueggelsee,Flies,Yes,Yes
BIBS_021,3551,8/30/2017,OM-06,Spandau_1,Flies,Yes,No
BIBS_022,3552,8/30/2017,OM-06,Spandau_1,Flies,Yes,Yes
BIBS_023,3553,8/30/2017,OM-06,Spandau_1,Flies,Yes,Yes
BIBS_024,3554,8/17/2017,OM-06,Spandau_1,Flies,Yes,Yes
BIBS_025,3555,8/17/2017,OM-06,Spandau_1,Flies,Yes,No
BIBS_026,3556,8/17/2017,OM-06,Spandau_1,NA,Yes,Yes
BIBS_027,M143,08/07/2017,NH-51,Grunewald_1,NBF,Yes,Yes
BIBS_028,M144,08/07/2017,NH-51,Grunewald_1,NBF,Yes,Yes
BIBS_029,M145,8/23/2017,NH-51,Grunewald_1,NBF,Yes,Yes
BIBS_030,M146,8/23/2017,NH-51,Grunewald_1,NBF,Yes,Yes
BIBS_031,M147,8/23/2017,NH-51,Grunewald_1,NBF,Yes,Yes
BIBS_032,M148,08/07/2017,NM-50,Grunewald_2,NBF,Yes,No
BIBS_033,M149,09/04/2017,NM-50,Grunewald_2,NBF,Yes,Yes
BIBS_034,M150,09/04/2017,NM-50,Grunewald_2,NBF,Yes,No
BIBS_035,M151,09/04/2017,NM-50,Grunewald_2,NBF,Yes,No
BIBS_036,M152,9/18/2017,OH-07,Mueggelsee,NBF,Yes,No
BIBS_037,M153,8/26/2017,OH-07,Mueggelsee,NBF,Yes,Yes
BIBS_038,M154,8/26/2017,OH-07,Mueggelsee,NBF,Yes,Yes
BIBS_039,M155,8/26/2017,OH-07,Mueggelsee,NBF,Yes,No
BIBS_040,M156,8/30/2017,OM-06,Spandau_1,NBF,Yes,No
BIBS_041,M157,8/30/2017,OM-06,Spandau_1,NBF,Yes,Yes
BIBS_042,M158,8/17/2017,OM-06,Spandau_1,NBF,Yes,Yes
BIBS_043,M159,8/17/2017,OM-06,Spandau_1,NBF,Yes,No
BIBS_044,M160,8/23/2017,NH-51,Grunewald_1,NBF,Yes,No
